序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
161,002659,凯文教育,254411620.63,270843.1,150134.41,3865097416.72,-8.742035833,27429063.81,,1473472658.66,-14.3478525216,38.1225231811,2391624758.06,2022-01-29
162,000821,ST京机,1156162847.99,1066360612.8,2680709034.71,7527904471.11,30.2286585894,1414571678.59,,4495700658.59,36.3593269334,59.7204796613,3032203812.52,2022-01-29
163,688775,影石创新,,,,1118456000.0,,,,240187700.0,,21.4749350891,,2022-01-28
164,688339,亿华通,663665293.09,700221954.12,264051943.82,3361004471.97,17.6716460113,201483808.37,,786972806.06,63.8078750599,23.414809847,2574031665.91,2022-01-28
165,688320,禾川科技,,,,936946600.0,,,,325866600.0,,34.7796341862,,2022-01-28
166,301529,福赛科技,38369522.04,166377760.12,104905669.14,649011483.06,,104110182.55,,301400334.73,,46.4399078594,347611148.33,2022-01-28
167,301202,朗威股份,36994592.15,241851802.44,154539421.62,991941597.22,,132149259.92,22829856.32,650156742.32,,65.5438529992,341784854.9,2022-01-28
168,301200,大族数控,140126996.68,1637532597.03,1569923309.08,4666416640.45,,903896096.18,479051.15,2522392031.11,,54.0541538714,2144024609.34,2022-01-28
169,301156,美农生物,,,,479377900.0,,,,171497000.0,,35.7749074373,,2022-01-28
170,301130,西点药业,120322260.26,33465320.69,23674966.59,563211280.73,,4715747.12,,56940049.73,,10.109891559,506271231.0,2022-01-28
171,002765,蓝黛科技,554893774.24,648980442.23,724705316.68,4201793457.0,9.1781503938,593895440.22,,2152616000.41,8.5574418783,51.2308856311,2049177456.59,2022-01-28
172,688560,明冠新材,218350926.94,437529638.92,253447724.16,1889192584.8,84.8189214815,282118635.31,,508397824.78,71.916652337,26.9108522271,1380794760.02,2022-01-27
173,002515,金字火腿,102529690.92,22548011.71,634950674.38,1542740247.49,-8.3066191703,6826338.09,1444773.17,186375393.54,-42.3641692765,12.0808019265,1356364853.95,2022-01-27
174,001373,翔腾新材,129496720.58,426891193.52,83593031.51,742336859.03,,220161702.08,,365160171.71,,49.1906291959,377176687.32,2022-01-27
175,301371,敷尔佳,914637835.92,5856746.04,65412376.94,1851465830.87,,32909302.78,,139397483.99,,7.5290335725,1712068346.88,2022-01-26
176,603215,比依股份,76697667.18,377303773.47,274470569.04,1089948180.49,,402026355.62,,772514029.11,,70.8762162218,317434151.38,2022-01-25
177,301181,标榜股份,128597788.35,65924978.15,109172124.7,472547138.88,,32704275.09,,93807449.4,,19.8514479682,378739689.48,2022-01-25
178,301151,冠龙节能,,,,1316688600.0,,,,608856000.0,,46.2414575474,,2022-01-25
179,301135,瑞德智能,,,,1116630000.0,,,,594055900.0,,53.2007827123,,2022-01-25
180,301110,青木科技,,,,476240800.0,,,,113676900.0,,23.8696264579,,2022-01-25
181,002452,长高电新,481714521.63,927131672.61,325284034.98,3466093750.53,0.16072192,432273586.23,79211.45,1451688734.6,-28.8184406892,41.8825582654,2014405015.93,2022-01-25
182,601136,首创证券,5006392900.0,278668600.0,,33984861200.0,,,,24524890600.0,,72.1641629067,9459970700.0,2022-01-24
183,301308,江波龙,,,,6091253500.0,,,,1750859700.0,,28.7438324476,,2022-01-24
184,301238,瑞泰新材,,,,4577141700.0,,,,2040797400.0,,44.5867210098,,2022-01-24
185,301207,华兰疫苗,622890681.48,1592795542.85,226436494.38,4762413013.48,,106008551.49,,2047123810.9,,42.9850121169,2715289202.58,2022-01-24
186,301195,北路智控,,,,731074800.0,,,,283689100.0,,38.8043877316,,2022-01-24
187,301165,锐捷网络,,,,5476504200.0,49.2970693715,,,3970493100.0,51.1605576134,72.5005031494,,2022-01-24
188,301121,紫建电子,,,,978186000.0,,,,366751900.0,,37.4930636914,,2022-01-24
189,301095,广立微,,,,372684300.0,,,,51541800.0,,13.8298822891,,2022-01-24
